,rmse,rmse_detrend,rmse_detrend_Tissue,rmse_detrend_Blood,rmse_detrend_DGM,DeviationFromLinearSlope,CalcStreak,DeviationFromCalcMoment,name,name.1,visual2,visual,Submission Identifiers from Google (just to check consistency during combination of files),Algorithm-type,Does your algorithm incorporate information derived from magnitude images?,Regularization terms,Did your algorithm use the provided frequency map or the four individual echo phase images?,Submission Identifier
0,41.74431,45.55337,55.76748,85.98117,31.87639,0.0228405,0.03384567,11.1937,CydoTpusUg_,'CydoTpusUg_',5.095238095238095,5.888888888888889,CydoTpusUg,Deep Learning,Yes,Implicit deep network prior,Individual echo phase images,CydoTpusUg
1,37.67952,39.44692,47.94283,76.75808,21.85886,0.02018651,0.02225091,7.45879,WgpBiTiZw9_,'WgpBiTiZw9_',5.047619047619047,5.777777777777778,WgpBiTiZw9,Spatial-domain iterative reconstruction,Yes,L1,Individual echo phase images,WgpBiTiZw9
2,35.12753,36.44275,41.84321,81.28287,22.15027,0.03153014,0.03219165,9.563374,UhzkoFqLbe_,'UhzkoFqLbe_',4.936507936507937,5.555555555555555,UhzkoFqLbe,Spatial-domain iterative reconstruction,No,Total-Variation,Individual echo phase images,UhzkoFqLbe
3,40.33426,42.30202,50.77386,83.00867,23.7961,0.01303276,0.02822057,11.04115,CWfiMHI1ij_,'CWfiMHI1ij_',4.788359788359788,5.666666666666667,CWfiMHI1ij,Spatial-domain iterative reconstruction,Yes,L1,Individual echo phase images,CWfiMHI1ij
4,40.13411,43.65532,52.81086,88.16309,21.03563,0.007651091,0.03267656,13.44645,qm2JVMNaV6_,'qm2JVMNaV6_',4.777777777777777,5.222222222222222,qm2JVMNaV6,Spatial-domain iterative reconstruction,Yes,"Total-Variation, L2 norm of Laplacian of harmonic phase",Individual echo phase images,qm2JVMNaV6
5,40.63965,42.65694,51.10497,76.30779,23.82154,0.01289392,0.03003429,11.29068,JS7oM0Anob_,'JS7oM0Anob_',4.751322751322751,5.555555555555555,JS7oM0Anob,Spatial-domain iterative reconstruction,Yes,L1,Frequency map,JS7oM0Anob
6,40.52518,40.98542,48.82707,78.57334,24.94647,0.02073377,0.01992707,5.66019,wcmrj11111_,'wcmrj11111_',4.677248677248676,5.555555555555555,wcmrj11111,Iterative ,Yes,L1,Individual echo phase images,wcmrj11111
7,39.7888,41.82611,50.32875,74.56068,23.60036,0.01128107,0.028123,10.72388,wgJwSci4bs_,'wgJwSci4bs_',4.64021164021164,5.444444444444445,wgJwSci4bs,Spatial-domain iterative reconstruction,Yes,L1,Individual echo phase images,wgJwSci4bs
8,33.95211,35.04425,41.32705,73.26068,22.20354,0.03080982,0.03474754,13.96051,aikOpF4Znc_,'aikOpF4Znc_',4.280423280423281,5.333333333333333,aikOpF4Znc,Spatial-domain iterative reconstruction,No,Total-Variation,Individual echo phase images,aikOpF4Znc
9,30.47356,31.95627,36.41904,79.30261,20.52199,0.01499644,0.0460935,16.92701,5e0YBJKZv1_,'5e0YBJKZv1_',4.269841269841269,5.222222222222222,5e0YBJKZv1,Closed-form iterations,Yes,"L1, L2, Total-Variation",Individual echo phase images,5e0YBJKZv1
10,40.22284,43.94274,55.72181,61.06467,23.95769,0.02023482,0.01890252,8.775204,EODh2MXvXX_,'EODh2MXvXX_',4.121693121693121,5.222222222222222,EODh2MXvXX,Spatial-domain iterative reconstruction,Yes,"Total-Variation, L2 norm of Laplacian of harmonic phase",Individual echo phase images,EODh2MXvXX
11,55.98745,65.57042,80.42409,110.9333,33.15614,0.02865458,0.03592549,10.71452,9feq374hs2_,'9feq374hs2_',3.798941798941799,4.888888888888889,9feq374hs2,Spatial-domain iterative reconstruction,No,Total-Variation,Individual echo phase images,9feq374hs2
12,51.53894,58.19299,71.85024,106.4645,30.40606,0.05262175,0.07357553,19.44671,gwSYpFV9ir_,'gwSYpFV9ir_',3.798941798941798,4.888888888888889,gwSYpFV9ir,Hybrid (multiple categories),Yes,L1,Individual echo phase images,gwSYpFV9ir
13,36.90469,39.56543,45.63404,91.1533,21.36097,0.04201746,0.06281303,19.66087,TVmpnl_,'TVmpnl_',3.751322751322751,4.888888888888889,TVmpnl,Spatial-domain iterative reconstruction,Yes,"L1, Total-Variation",Individual echo phase images,TVmpnl
14,54.25712,64.09628,78.33482,110.0192,31.6439,0.02339515,0.04544255,16.49189,9feq374hs1_,'9feq374hs1_',3.592592592592592,4.666666666666667,9feq374hs1,Spatial-domain iterative reconstruction,No,"L2, Total-Variation",Individual echo phase images,9feq374hs1
15,59.64262,67.60388,86.81206,112.8214,30.9898,0.002987921,0.06435609,23.00024,1CSl5QVJg0_,'1CSl5QVJg0_',3.53968253968254,4.555555555555555,1CSl5QVJg0,Deep Learning,No,None or does not apply,Both,1CSl5QVJg0
16,52.90215,55.29403,68.4256,92.99834,29.27214,0.0331504,0.04119116,21.43757,DavRub7513_,'DavRub7513_',3.455026455026454,4.555555555555555,DavRub7513,Spatial-domain iterative reconstruction,Yes,L1,,DavRub7513
17,47.46346,51.28809,60.59378,100.7703,27.25145,0.01159298,0.07082463,21.36335,hpJGTclwvb_,'hpJGTclwvb_',3.444444444444444,4.333333333333333,hpJGTclwvb,Spatial-domain iterative reconstruction,Yes,L1,Individual echo phase images,hpJGTclwvb
18,56.49127,64.52245,77.89326,107.9815,35.4244,0.02094233,0.0395356,11.65967,9feq374hs4_,'9feq374hs4_',3.417989417989418,4.333333333333333,9feq374hs4,Spatial-domain iterative reconstruction,No,Total-Variation,Individual echo phase images,9feq374hs4
19,44.29784,49.34207,56.77839,102.7736,25.12841,0.1261285,0.08126885,23.53269,9DA40BwhyA_,'9DA40BwhyA_',3.380952380952381,4.444444444444445,9DA40BwhyA,Spatial-domain iterative reconstruction,Yes,"L2, Generalized total variation",Individual echo phase images,9DA40BwhyA
20,112.2254,2227.868,2048.197,27551.21,24921.94,0.9936465,,,wcmps1_,'wcmps1_',3.37037037037037,4.333333333333333,WCMPS1,Spatial-domain iterative reconstruction,Yes,"L1, Total-Variation",Individual echo phase images,WCMPS1
21,42.18153,46.45919,55.85408,95.43996,24.11716,0.1108434,0.06982252,24.55705,TGVmpnl_,'TGVmpnl_',3.296296296296296,4.111111111111111,TGVmpnl,Spatial-domain iterative reconstruction,Yes,"L1, Generalized total variation",Individual echo phase images,TGVmpnl
22,41.54692,43.74232,51.3341,86.75916,26.67835,0.01679492,0.04750373,17.17634,4vwNfa7jQa_,'4vwNfa7jQa_',3.222222222222222,4.111111111111111,4vwNfa7jQa,Spatial-domain iterative reconstruction,No,Total-Variation,Frequency map,4vwNfa7jQa
23,45.53867,51.05058,57.8708,115.6276,26.0409,0.1007565,0.07771362,19.38453,j7WMw83s6D_,'j7WMw83s6D_',3.195767195767195,4.222222222222222,j7WMw83s6D,Spatial-domain iterative reconstruction,Yes,vector of a gradient,Frequency map,j7WMw83s6D
24,65.53325,83.56197,105.5025,160.1678,34.16175,0.1758773,0.1212728,43.13221,VvuzvIauS6_,'VvuzvIauS6_',3.195767195767195,4.0,VvuzvIauS6,Deep Learning,No,None or does not apply,Individual echo phase images,VvuzvIauS6
25,56.31911,65.23742,83.72839,109.8132,28.85899,0.01127079,0.05949117,21.56845,YwJFmu4fpT_,'YwJFmu4fpT_',3.158730158730159,4.111111111111111,YwJFmu4fpT,Deep Learning,No,None or does not apply,Both,YwJFmu4fpT
26,62.35694,74.31844,92.28873,120.5424,39.60149,0.02779216,0.03447919,13.2095,8feq374hs2_,'8feq374hs2_',3.132275132275132,4.222222222222222,8feq374hs2,Spatial-domain iterative reconstruction,No,Total-Variation,Frequency map,8feq374hs2
27,54.68177,63.98056,77.90031,110.6846,32.65215,0.0293777,0.03562876,10.58926,9feq374hD2_,'9feq374hD2_',3.111111111111111,4.0,9feq374hD2,Spatial-domain iterative reconstruction,No,Total-Variation,Individual echo phase images,9feq374hD2
28,59.44421,66.05299,80.4942,116.3408,30.05915,0.07307103,0.0593362,25.99383,c9YXGTUfps_,'c9YXGTUfps_',3.095238095238095,4.0,c9YXGTUfps,Deep Learning,No,None or does not apply,Both,c9YXGTUfps
29,55.6398,63.83401,80.52989,109.6023,30.53539,0.0291011,0.07374694,28.73804,AZ09AkuCl7_,'AZ09AkuCl7_',3.037037037037037,3.888888888888889,AZ09AkuCl7,Deep Learning,No,None or does not apply,Both,AZ09AkuCl7
30,63.62351,77.52136,103.9043,121.3701,32.58987,0.0774346,0.03891908,15.16825,LGIHWjPyfo_,'LGIHWjPyfo_',3.0,3.888888888888889,LGIHWjPyfo,Deep Learning,No,None or does not apply,Individual echo phase images,LGIHWjPyfo
31,53.92117,62.43988,74.98096,106.5098,31.96037,0.1526823,0.09080754,25.79355,jwgt5l4gbd_,'jwgt5l4gbd_',2.984126984126984,4.0,jwgt5l4gbd,Spatial-domain iterative reconstruction,Yes,L2,Individual echo phase images,jwgt5l4gbd
32,57.79957,64.19377,79.54108,111.325,29.08199,0.03204975,0.06912924,26.7259,cgkpZv3RQ0_,'cgkpZv3RQ0_',2.936507936507936,3.888888888888889,cgkpZv3RQ0,Deep Learning,No,None or does not apply,Both,cgkpZv3RQ0
33,56.74577,65.40707,80.3517,119.5969,35.54784,0.0805847,0.07263391,26.8255,WmFM7vozZq_,'WmFM7vozZq_',2.925925925925926,3.777777777777778,WmFM7vozZq,Deep Learning,No,None or does not apply,Both,WmFM7vozZq
34,65.54764,84.27451,106.0341,169.4915,34.65584,0.105867,0.1246692,43.28749,9uErOsxGtr_,'9uErOsxGtr_',2.91005291005291,4.0,9uErOsxGtr,Deep Learning,No,None or does not apply,Individual echo phase images,9uErOsxGtr
35,70.8497,101.2747,116.9626,411.2895,68.7179,0.4417304,0.1290779,46.40521,bR2Oi0ZCZi_,'bR2Oi0ZCZi_',2.899470899470899,3.777777777777778,bR2Oi0ZCZi,Spatial-domain iterative reconstruction,Yes,Total-Variation,Individual echo phase images,bR2Oi0ZCZi
36,65.49573,84.37798,114.6039,137.6191,34.65653,0.1102155,0.1297493,47.6124,CnXJHoQcOi_,'CnXJHoQcOi_',2.862433862433862,3.777777777777778,CnXJHoQcOi,Deep Learning,Yes,None or does not apply,Frequency map,CnXJHoQcOi
37,57.91669,67.18452,83.24077,115.7759,32.28008,0.0300881,0.07005832,23.28519,afSUtizb40_,'afSUtizb40_',2.851851851851852,3.666666666666667,afSUtizb40,Deep Learning,No,None or does not apply,Both,afSUtizb40
38,68.62447,91.37405,104.1998,312.1571,68.94238,0.3114196,0.1260062,24.93211,tAEFLsallu_,'tAEFLsallu_',2.825396825396825,3.666666666666667,tAEFLsallu,Spatial-domain iterative reconstruction,Yes,vector of a gradient,Frequency map,tAEFLsallu
39,60.40968,72.53863,96.88301,112.4947,33.90277,0.09271556,0.05490484,14.42213,FTAaNyeZiW_,'FTAaNyeZiW_',2.814814814814815,3.666666666666667,FTAaNyeZiW,Deep Learning,No,None or does not apply,Individual echo phase images,FTAaNyeZiW
40,65.78232,85.12269,116.5478,136.601,34.80952,0.1017072,0.1346223,48.62057,1VYY66WsGQ_,'1VYY66WsGQ_',2.788359788359788,3.666666666666667,1VYY66WsGQ,Deep Learning,Yes,None or does not apply,Frequency map,1VYY66WsGQ
41,68.97473,92.29784,122.0815,177.4617,38.1834,0.1852135,0.09306053,44.86705,SvA010zZI6_,'SvA010zZI6_',2.788359788359788,3.666666666666667,SvA010zZI6,Deep Learning,No,None or does not apply,Individual echo phase images,SvA010zZI6
42,70.54663,92.31299,110.3642,159.808,43.40063,0.1070015,0.06668761,29.74874,HjMvpRmBnO_,'HjMvpRmBnO_',2.751322751322751,3.666666666666667,HjMvpRmBnO,Spatial-domain iterative reconstruction,No,"L1, Total-Variation",Frequency map,HjMvpRmBnO
43,55.22123,64.74954,77.50535,121.3603,40.67045,0.2236198,0.1288751,28.97736,1RBmUj4qMy_,'1RBmUj4qMy_',2.751322751322751,3.555555555555555,1RBmUj4qMy,Spatial-domain iterative reconstruction,Yes,Total-Variation,Both,1RBmUj4qMy
44,75.01469,112.2117,139.1312,251.4982,57.54237,0.2810632,0.1427763,42.548,nhoEf6Qi7f_,'nhoEf6Qi7f_',2.703703703703704,3.444444444444445,nhoEf6Qi7f,Deep Learning,Yes,None or does not apply,Individual echo phase images,nhoEf6Qi7f
45,68.50136,91.21114,113.3279,175.7616,38.60972,0.1894289,0.1246282,42.77789,KHc0ZSDnRR_,'KHc0ZSDnRR_',2.64021164021164,3.555555555555555,KHc0ZSDnRR,Deep Learning,No,None or does not apply,Individual echo phase images,KHc0ZSDnRR
46,56.81894,66.31116,84.03201,113.1807,29.3896,0.05035245,0.0529848,17.10626,C5ZIL266xE_,'C5ZIL266xE_',2.629629629629629,3.444444444444445,C5ZIL266xE,Deep Learning,No,None or does not apply,Both,C5ZIL266xE
47,67.1047,86.99037,109.971,168.3333,35.79776,0.1928897,0.1165989,43.46395,BZA1ZHG0K7_,'BZA1ZHG0K7_',2.566137566137566,3.444444444444445,BZA1ZHG0K7,Deep Learning,No,None or does not apply,Individual echo phase images,BZA1ZHG0K7
48,71.32729,83.21828,109.2256,133.5781,38.54864,0.06608692,0.04377641,13.49499,OGggRA8FeM_,'OGggRA8FeM_',2.529100529100529,3.333333333333333,OGggRA8FeM,Deep Learning,No,None or does not apply,Individual echo phase images,OGggRA8FeM
49,583.9899,44.36479,50.66643,102.1581,23.41546,5.856367,0.05997264,206.2688,sO8cqD_,'sO8cqD_',2.492063492063492,3.444444444444445,sO8cqD,Spatial-domain iterative reconstruction,Yes,Generalized total variation,Frequency map,sO8cqD.zip
50,65.33528,85.37875,106.8413,174.6098,34.72447,0.07590845,0.1643676,44.78743,nxEaOyG7or_,'nxEaOyG7or_',2.492063492063492,3.333333333333333,nxEaOyG7or,Deep Learning,No,None or does not apply,Individual echo phase images,nxEaOyG7or
51,70.95818,96.85894,124.0225,151.3453,52.35786,0.08745945,0.07324733,15.71845,C6YXKRRr2L_,'C6YXKRRr2L_',2.481481481481481,3.111111111111111,C6YXKRRr2L,Inverse filtering (TKD-like),Yes,None or does not apply,Individual echo phase images,C6YXKRRr2L
52,66.13439,85.68789,111.4669,138.4842,41.63694,0.02579311,0.03786538,7.857342,9feq374hs3_,'9feq374hs3_',2.481481481481481,3.0,9feq374hs3,Spatial-domain iterative reconstruction,No,Total-Variation,Individual echo phase images,9feq374hs3
53,68.65831,82.22108,106.9926,134.1711,37.63092,0.1057758,0.04476076,16.91037,YTQ7SppYwF_,'YTQ7SppYwF_',2.455026455026455,3.222222222222222,YTQ7SppYwF,Deep Learning,No,None or does not apply,Individual echo phase images,YTQ7SppYwF
54,65.27081,83.02798,112.2564,132.5201,34.90919,0.1506146,0.09972897,41.02431,rjEHqZ7N2X_,'rjEHqZ7N2X_',2.417989417989418,3.222222222222222,rjEHqZ7N2X,Deep Learning,Yes,None or does not apply,Frequency map,rjEHqZ7N2X
55,73.36494,107.1984,138.7065,244.4581,52.56421,0.1507839,0.1208574,42.02193,9u67upxwlc_,'9u67upxwlc_',2.37037037037037,3.111111111111111,9u67upxwlc,Deep Learning,No,None or does not apply,Individual echo phase images,9u67upxwlc
56,56.17643,65.96837,84.84959,111.4357,37.73826,0.06063443,0.08374003,28.68854,oWu6pqcQO8_,'oWu6pqcQO8_',2.37037037037037,3.0,oWu6pqcQO8,Deep Learning,No,None or does not apply,Both,oWu6pqcQO8
57,65.87536,85.49628,117.3178,137.8414,34.86248,0.09972298,0.1202099,47.85841,bZiPPIuSJE_,'bZiPPIuSJE_',2.259259259259259,2.888888888888889,bZiPPIuSJE,Deep Learning,Yes,None or does not apply,Frequency map,bZiPPIuSJE
58,549.5899,49.78974,58.92574,104.8426,25.31195,5.362391,0.06850038,173.1126,sO8cqA_,'sO8cqA_',2.185185185185185,3.0,sO8cqA,Spatial-domain iterative reconstruction,Yes,"Total-Variation, Generalized total variation",Frequency map,sO8cqA.zip
59,67.88889,87.59468,110.1335,178.2633,35.13218,0.2106867,0.1397422,44.31449,waXOIrgZog_,'waXOIrgZog_',2.185185185185185,2.888888888888889,waXOIrgZog,Deep Learning,No,None or does not apply,Individual echo phase images,waXOIrgZog
60,77.00696,101.6875,147.5617,160.6284,46.51839,0.03014714,0.1302466,38.45804,uwf4mwczDd_,'uwf4mwczDd_',2.132275132275132,3.0,uwf4mwczDd,Deep Learning,No,None or does not apply,Frequency map,uwf4mwczDd
61,55.3661,65.95,80.05376,115.0442,39.06015,0.2833178,0.1235818,32.54958,4bP1oEFTXH_,'4bP1oEFTXH_',2.111111111111111,2.666666666666667,4bP1oEFTXH,Spatial-domain iterative reconstruction,No,Total-Variation,Both,4bP1oEFTXH
